I feel good about what I'm working on,I feel good about my career path,I feel good about my work-life balance,I feel valued by those around me,I see opportunities for career growth,"In your opinion, what are the top three skills most in demand in the battery industry?","In opinion, which part(s) of the battery value chain are most in need of more skilled workers?",What is your highest level of education?,What did you study in school?,What country do you live in?,What is your ZIP code or postal code?,What is your total income over the past 12 months?,How many hours did you work last week?,What is your age?,How would you best describe yourself?,To which gender do you most identify with?,What is your citizenship status in the country you currently live in?,Have you ever served in the military?,What is your current employment situation?,"Since you're currently working in the industry, we would love to ask you some more detailed questions about your industry experience.

Would you like to complete these additional questions? ","Since you're a student, we would love to ask you more detailed questions about your student and job searching experience.

Would you like to complete these additional questions? ","Since you've indicated that you used to work for a company but no longer work there, we would love to ask you more detailed questions about your experience with the previous company and your job-search process.

Would you like to complete these additional questions? ",Why did you leave your previous company?,I am satisfied with my compensation,I am being underpaid compared to similar roles,I am satisfied with the raises and/or bonuses I have been receiving,What is your annual base salary?,"Beyond base salary, what additional compensation types do you receive?",How many times have you received a base salary increase over the past 12 months of employment?,How many times have you received a bonus over the past 12 months of employment?,How many years have you been with the company?,Where does the company fall on the battery value chain?,How would you classify your company's stage of development?,In what country is your office located?,In what state is your office located?,How many days did you work in the office last week?,How many employees work at your company?,What is the total headcount on your team?,What is your current job title?,What does your role involve?,What is your current level?,Why did you choose your current role and company?,Have you previously worked in other industries?,What was your previous role before joining the battery industry?,After working for 1 week?,After working for 1 month?,After working for 3 months?,Last week?,"When you first started your role, how were you trained?","When you first started in the battery industry, what could have improved your job performance on day one?",How many internships did you complete before starting your current role?,"In your opinion, what are the top skills that contributed to your success?","In your opinion, which positions are the hardest to fill in your company?","In your opinion, what do you think are the main barriers to hiring skilled talent in the battery industry?",How many times have you changed employers in the last five years?,Are you currently seeking new job opportunities?,My company has a good reputation in the industry,I want to stay with my company for at least 12 more months,I am satisfied with my current job stability,I am confident in my ability to find my next job in the industry,"If you were offered a similar role with a different company, what factors would influence your decision accept the offer?",Is there anything else you'd like to share about what you're looking for in your next role?,Mental health support,Work-life balance initiatives,Financial wellness programs,Career development opportunities,What benefits does your company entitle you to?,How many weeks of parental leave are you entitled to?,How many weeks of paid time off are you entitled to each year?,How many days of sick leave are you entitled to?,Are there any unique benefits that you value?,"After graduating, I know what role(s) to apply to","After graduating, I will find a job","By the time I graduate, I will have learned the skills needed to find a job",I am optimistic about the future of the battery industry,"After you graduate, what would be your ideal job title?","After you graduate, what part(s) of the battery value chain do you see yourself contributing to?",Which of the following aspects are you looking for in your first job?,How much do you expect to be paid for your first job?,How many internships have you completed so far?,"During your previous internship, where did your  employer fall on the battery value chain?","During your previous internship, what did your role involve?","During your previous internship, what are the top three skills that contributed to your success?","During your previous internship, were there skills you wish you had learned but didn't? If yes, what were they?","During your previous internship, were there skills that you felt unprepared for? If yes, what were they?","During your previous internship, what was your hourly pay?","During your previous internship, how many hours per week did you work, on average?",Submitted At,Token
5,4,4,4,4,Machine design for new technologies; process development for industrialization of new tech,"Component/precursor production, Recycling, Equipment manufacturing",Bachelors,Mechanical Engineering,United States,01821,125000,50,29,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,3,3,125000,"Bonuses (based on individual performance), Equity (stock, options, etc.), Health and wellness stipends",0,0,1,"Component/precursor production, Equipment manufacturing",Startup (early growth),United States,Massachusetts,5,11-50,11-20,Development Engineer,"Engineering and design, Manufacturing and production, New product introduction (NPI), Research and development, Testing and validation",Senior,"Sustainability and impact, Career growth opportunities, Competitive salary and benefits, Learning and skills development, Desirable work location","Yes, in a similar role",,3,4,5,5,"Learning on the job, Peer mentors",Better foundational knowledge,4,Hands-on experience; constantly learning new information,controls engineer,location; competitive benefits,1,FALSE,4,5,4,5,"Salary, bonuses, Equity, Career growth opportunities, Company culture",,3,3,3,4,"Healthcare coverage or stipend, Retirement account funding or match",,4,5,,,,,,,,,,,,,,,,,,10/22/2024 19:14:39,ns74ftebmc05tq4snfns74fm8zgjjsu2
5,4,4,4,5,"Equipment design, process development, product evaluation","Cell production, Module/pack production, Equipment manufacturing",Bachelors,Materials Science and Engineering,United States,01907,165000,40,35,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,3,3,166000,,1,0,2,Equipment manufacturing,Startup (early growth),United States,Massachusetts,5,11-50,1-10,,"Engineering and design, Managing projects or programs, Software development, Software integration, Testing and validation, IT infrastructure, Facilities, Product design, Quality, Research and development",Senior,"Challenge and innovation, Career growth opportunities, Learning and skills development","Yes, in a similar role",,4,4,4,4,"Learning on the job, Peer mentors","Better foundational knowledge, More hands-on skills",4,"perseverance, curiosity, critical thinking",controls engineer,niche industry,2,FALSE,4,5,4,4,"Salary, bonuses, Job stability, Equity, Vacation time, Perks, Career growth opportunities, Parental leave, Work location flexibility, Total hours worked, Company culture",,3,4,3,3,"Healthcare coverage or stipend, Retirement account funding or match",,4,5,,,,,,,,,,,,,,,,,,10/22/2024 19:20:52,yhqd34c6cghd9pg0zrhisyhqd77elerf
5,3,5,3,3,"systems engineering, data analytics, technicians","Equipment manufacturing, Cell production",Masters,Other,United States,02184,230000,40,33,White,Female,Citizen (foreign-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,4,3,200000,"Bonuses (based on individual performance), Bonuses (based on company performance), Education or tuition reimbursement, Health and wellness stipends",1,1,6,Consulting,Startup (early growth),United States,Massachusetts,2,11-50,1-10,,"Managing people, Managing projects or programs, Recruiting",Manager,"Autonomy and independence, Hybrid/remote work, Work-life balance, Learning and skills development","Yes, in a similar role",,1,1,3,5,Learning on the job,Better foundational knowledge,1,grit,technicians,competition,0,,3,3,3,3,"Salary, bonuses, Career growth opportunities, Company culture",,3,4,1,1,"Healthcare coverage or stipend, Retirement account funding or match, Gym or physical wellness stipend, Educational, tuition, or continued education stipend",12,4,8,,,,,,,,,,,,,,,,,,10/22/2024 20:14:01,5ue3sdl39c9r4hux2mwa0o8c5ue3sdpd
4,4,4,5,5,"Scale-up, process development, automation","Cell production, Recycling, Consulting",Bachelors,Chemical Engineering,United States,02144,120000,43,29,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,2,3,120000,"Bonuses (based on individual performance), Bonuses (based on company performance), Equity (stock, options, etc.)",1,0,1,"Equipment manufacturing, Cell production",Scale-up (rapid growth),United States,Massachusetts,5,11-50,1-10,Process Engineer III,Engineering and design,Career,"Challenge and innovation, Career growth opportunities, Competitive salary and benefits","Yes, in a similar role",,3,4,4,4,"Learning on the job, Peer mentors","Better foundational knowledge, More hands-on skills",2,"Communication, Problem Solving, Powder Handling Fundamentals","Controls Engineer, Powder Equipment Development Engineer","Not many large battery companies in the US, Lack of battery related education, Wide variety of technical skills needed",2,FALSE,3,4,5,4,"Vacation time, Salary, bonuses, Career growth opportunities, Work location flexibility",Viability,3,3,3,3,"Healthcare coverage or stipend, Retirement account funding or match",12,3,5,,,,,,,,,,,,,,,,,,10/22/2024 20:37:20,fugmn5wentamsrcofug05gdxcki09d4t
4,3,3,4,3,Web handling; Process development; Material development,"Equipment manufacturing, Refining, Consulting",Bachelors,Mechanical Engineering,United States,01821,76000,40,23,,Female,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/22/2024 20:53:05,wlpw7eofkt6xjkqtwlpw7sbx87kbrphd
3,2,3,3,3,"Process engineering, research acumen, electrochemistry, big picture thinking","Cell production, Recycling, Equipment manufacturing",Doctorate,Mechanical Engineering,Italy,20832,40000,40,31,White,Male,Citizen (native-born),No,I'm not employed right now but I used to work for a company,,,TRUE,I left voluntarily,2,3,1,40000,,0,,1,Component/precursor production,Scale-up (rapid growth),Italy,,5,11-50,1-10,Researcher,Research and development,Career,Desirable work location,No,,2,3,4,4,Learning on the job,Better foundational knowledge,0,"Fast learning, precision, big picture thinking",,"Location, competition, career prospects",2,TRUE,3,,,3,"Vacation time, Work location flexibility, Career growth opportunities, Company culture","Geography, role, culture",2,3,2,2,"Healthcare coverage or stipend, Retirement account funding or match, Meal stipend",2,5,30,"Meal bonus, healthcare, pension",,,,,,,,,,,,,,,,,10/23/2024 6:28:22,w7rio6sy6bac2b4zw7rio6vqm72qjelb
3,3,2,4,5,Industrialization; value engineering; application engineering.,"Recycling, Product integration (vehicles, mobility), Product integration (electronics)",Masters,Management and Business Administration,Netherlands,1012HX,60000,60,32,White,Non-binary,Non-citizen (H-1B visa),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,4,4,60000,"Transport compensation, mobile phone compensation",2,0,3,"Component/precursor production, Equipment manufacturing, Product integration (electronics), Cell production",Scale-up (rapid growth),Netherlands,,4,51-100,1-10,Project Manager for new factory build projects,"Engineering and design, Managing people, Managing projects or programs, Facilities, Supply chain",Senior,"Challenge and innovation, Learning and skills development, Sustainability and impact, Career growth opportunities","Yes, in a different role",Climate Change Officer in local government,1,2,1,3,Learning on the job,"Better foundational knowledge, More hands-on skills, Better understanding of culture and norms",0,Communication; Neuroticism; Fast Learner,Equipment engineer; application engineer; construction project manager,Lack of direct background; lack of effective recruitment skills; lack of talent pool,3,FALSE,4,4,4,4,"Career growth opportunities, Total hours worked, Company culture, Vacation time, Parental leave","If I was to move jobs, it would be because my organization is bankrupt, or to pursue a lower pressure role with more work-life balance. Otherwise I do not see a reason to move to a new company until I have achieved what I need to for this company.",2,2,2,2,"Retirement account funding or match, Transit benefits",9,5,3,career growth,,,,,,,,,,,,,,,,,10/23/2024 11:00:22,1skfxcawphvepptp1skfj6f9hw5q456q
5,4,5,5,4,,"Cell production, Recycling, Component/precursor production",Doctorate,Materials Science and Engineering,United States,80228,140000,40,33,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,5,2,4,136000,"Bonuses (based on individual performance), Bonuses (based on company performance), Equity (stock, options, etc.), Education or tuition reimbursement, Cell phone",1,1,2,,Scale-up (rapid growth),United States,Colorado,4,101-250,1-10,,,Senior,"Challenge and innovation, Learning and skills development, Work-life balance, Desirable work location, Competitive salary and benefits, Supportive team and environment, Sustainability and impact, Autonomy and independence","Yes, in a similar role",,3,4,5,5,"Peer mentors, Learning on the job","More hands-on skills, Better foundational knowledge",0,,,,3,FALSE,4,5,4,2,"Salary, bonuses, Job stability, Vacation time, Company culture, Total hours worked",,4,5,4,5,"Healthcare coverage or stipend, Retirement account funding or match, Educational, tuition, or continued education stipend",,,,,,,,,,,,,,,,,,,,,10/23/2024 12:11:31,ym5qjkq9fsr5c2o8ym5qdp35vmwishbj
4,4,3,4,3,"[flexible knowledge], [driven], [practical]","Cell production, Recycling",Masters,Chemical Engineering,United States,02139,100000,45,26,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,2,2,104000,"Bonuses (based on individual performance), Bonuses (based on company performance), Equity (stock, options, etc.), Health and wellness stipends",1,0,2,Cell production,Scale-up (rapid growth),United States,Massachusetts,5,11-50,1-10,Development Engineer,"Engineering and design, Managing projects or programs, New product introduction (NPI), Product design, Research and development",Developing,"Challenge and innovation, Autonomy and independence",No,,3,2,3,5,Learning on the job,"Better foundational knowledge, Better understanding of culture and norms",3,"research capability, open minded","Controls Engineer, process technician",Matching compensation and knowledge,0,TRUE,4,4,4,3,"Salary, bonuses, Vacation time, Perks, Career growth opportunities, Work location flexibility, Total hours worked","Flexible work (hybrid/remote), stable hours, closer to where I live",3,2,2,3,"Healthcare coverage or stipend, Retirement account funding or match",8,4,5,401k matching on roth 401k contributions,,,,,,,,,,,,,,,,,10/23/2024 13:03:46,bm6zeomwxxyt0r8bm6z8od01avmgn4cn
5,4,4,5,5,"Meticulous, team-player, problem-solver","Recycling, Equipment manufacturing",Masters,Chemical Engineering,United States,01749,115500,50,29,White,Female,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,2,2,115500,"Equity (stock, options, etc.)",1,0,1,Equipment manufacturing,Startup (early growth),United States,Massachusetts,5,11-50,1-10,senior process development engineer,"Managing people, Managing projects or programs, Manufacturing and production, Engineering and design, New product introduction (NPI), Quality, Research and development",Manager,"Challenge and innovation, Learning and skills development","Yes, in a similar role",,2,3,4,5,Learning on the job,Better foundational knowledge,0,"meticulous, drive, passion",technicians and operators,Pay and future planning,3,FALSE,5,5,4,5,"Salary, bonuses, Career growth opportunities, Work location flexibility, Company culture",,3,4,3,4,"Healthcare coverage or stipend, Retirement account funding or match",,3,1,,,,,,,,,,,,,,,,,,10/23/2024 14:28:07,wo1dgc77piw5j49ve12omjwo1dgc77zy
4,4,5,4,5,"manufacturing know how, battery analytics, R&D","Cell production, Module/pack production, Equipment manufacturing",Doctorate,Chemical Engineering,,27107,114000,40,31,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,4,3,114000,"Equity (stock, options, etc.)",1,0,4,Software,Startup (early growth),United States,North Carolina,5,11-50,1-10,Junior Data Scientist,"Research and development, Engineering and design, Managing projects or programs, Marketing, Product design, Quality, Software development, Software integration, Testing and validation",Developing,"Supportive team and environment, Work-life balance, Hybrid/remote work, Learning and skills development, Challenge and innovation, Desirable work location, Sustainability and impact, Autonomy and independence",No,,2,3,3,5,"Learning on the job, Peer mentors",Better foundational knowledge,0,"networking, eagerness to learn, electrochemistry knowledge",Product Lead,"The need to relocate, finding the talent with exactly what you want",0,FALSE,4,5,5,3,"Salary, bonuses, Vacation time, Equity, Job stability, Perks, Parental leave, Work location flexibility, Total hours worked, Company culture",I'd like to maintain what I think is great vacation and work remote flexibility while also getting paid about 30% more. I could take or leave equity.,5,5,1,3,"Healthcare coverage or stipend, Work-from-home stipend",8,30,30,"paid family leave, work time flexibility, time off is infinite (but realistically around 30 days)",,,,,,,,,,,,,,,,,10/23/2024 15:07:41,q51lqpkjplmhvv54ot21wpq51lqpkj4r
3,2,5,3,2,"data analysis, materials characterization","Software, Consulting",Masters,Chemical Engineering,United States,46032,110000,40,24,Asian,Female,Non-citizen (F1/M1/OPT holder),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,2,4,110000,"Bonuses (based on individual performance), Bonuses (based on company performance), Health and wellness stipends",1,1,2,"Product integration (vehicles, mobility)",Established (significant market presence),United States,Indiana,5,"1,001-5,000",1-10,BMS Algorithm Developer,"Engineering and design, Research and development, Software development",Entry,"Job security, Hybrid/remote work, Career growth opportunities, Supportive team and environment, Sustainability and impact, Learning and skills development, Competitive salary and benefits",No,,,,,,Learning on the job,More hands-on skills,3,,,,0,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/24/2024 1:58:07,jb9e5j26i3wk5si5jb9ejf2sr4l0gbdy
3,4,4,4,4,Formation process optimization; manufacturing equipment bring up,"Equipment manufacturing, Energy infrastructure, Cell production",Doctorate,Chemical Engineering,United States,95054,145000,48,33,Asian,Male,Non-citizen (Other),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,2,3,145000,"Health and wellness stipends, Equity (stock, options, etc.)",2,0,1,"Component/precursor production, Cell production",Scale-up (rapid growth),United States,California,5,11-50,1-10,Sn. Scientist,"Engineering and design, Managing projects or programs, Testing and validation, Quality, Research and development",Developing,"Career growth opportunities, Challenge and innovation, Supportive team and environment, Learning and skills development, Competitive salary and benefits",No,,2,1,2,4,Learning on the job,"Better understanding of culture and norms, More hands-on skills, Better foundational knowledge",0,Problem-solving; Data Analysis; Literature screening,Battery data scientist; senior/staff manufacturing engineer; electrolyte scientist/engineer,,0,FALSE,3,5,4,3,"Salary, bonuses, Equity, Career growth opportunities, Parental leave, Company culture",,2,3,2,4,"Healthcare coverage or stipend, Retirement account funding or match",6,15,8,,,,,,,,,,,,,,,,,,10/24/2024 4:50:51,iv9x4p5anax6giv9xe7soy2c3mmutbtn
5,5,5,4,4,"Technical understanding, electrochemical background, testing understanding","Product integration (vehicles, mobility)",Doctorate,Chemical Engineering,United Kingdom,EH105QT,55000,40,27,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/24/2024 7:01:29,fjgasvcdchtxe2t4lskfjgax3gsa6k5r
5,5,5,3,5,"Material Science and Engineering, Battery Simulation and Modeling, Electrochemical testing and characterization","Energy infrastructure, Software, Equipment manufacturing",Doctorate,Materials Science and Engineering,Singapore,659802,140000,40,38,Asian,Female,Non-citizen (Other),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/24/2024 8:52:39,obso4g4f84ff8i1ah8obso4g6xtwz8e6
4,5,4,4,5,"""[Understand the Concept]; [Implement that Concept]; [Improvise that Concept]""","Cell production, Recycling, Equipment manufacturing",Bachelors,Mechanical Engineering,India,613205,1200000,48,30,Asian,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,4,3,600000,"Bonuses (based on individual performance), Bonuses (based on company performance), Health and wellness stipends",0,0,1,"Cell production, Equipment manufacturing, Software",Established (significant market presence),China,,6,"10,001-25,000",21-50,After Sales Service Engineer,"Engineering and design, Manufacturing and production, New product introduction (NPI), Product design, Testing and validation",Senior,"Career growth opportunities, Job security, Learning and skills development","Yes, in a similar role",,3,4,5,5,"Learning on the job, Peer mentors","Better foundational knowledge, More hands-on skills",0,"""commitment; keep learning; keep improving what you learn;""",Project Manager; Head of the department; C Level Management,Education; Experience;,3,TRUE,4,3,4,5,"Job stability, Salary, bonuses, Career growth opportunities, Visa sponsorship","""Financial Compensation; Visa process help to move; Job Security",3,4,4,5,"Healthcare coverage or stipend, Retirement account funding or match, Meal stipend",6,0,12,,,,,,,,,,,,,,,,,,10/24/2024 11:43:14,mmhgen2zmkbc479uolvkmzqmmhgen2x9
